id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,kulczynski,imbalance_ratio
145,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1622,0.1602,0.1138,0.701603,0.705982,0.009588
146,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1806,0.1534,0.1138,0.630122,0.685987,0.123524
147,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1698,0.2184,0.1284,0.756184,0.672048,0.187067
148,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1864,0.2184,0.1272,0.682403,0.63241,0.115274
149,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode VI - Return of the Jedi (1983)'],0.1622,0.2342,0.1272,0.784217,0.663671,0.267459
150,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Matrix, The (1999)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1448,0.2184,0.1084,0.748619,0.622478,0.288854
151,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1552,0.2184,0.1208,0.778351,0.665733,0.25
152,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1398,0.1894,0.1208,0.864092,0.750948,0.238004
153,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1698,0.1622,0.1208,0.711425,0.728093,0.035985
154,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1864,0.1534,0.1208,0.648069,0.717777,0.150685
155,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1534,0.1864,0.1208,0.787484,0.717777,0.150685
156,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1622,0.1698,0.1208,0.74476,0.728093,0.035985
157,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)']",0.1894,0.1398,0.1208,0.637804,0.750948,0.238004
158,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1398,0.1806,0.1028,0.735336,0.652275,0.1875
159,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Matrix, The (1999)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1448,0.1622,0.1028,0.709945,0.671865,0.085211
160,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Matrix, The (1999)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1516,0.1864,0.1028,0.6781,0.614801,0.147959
161,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Matrix, The (1999)']",0.1622,0.1448,0.1028,0.633785,0.671865,0.085211
162,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Matrix, The (1999)']",0.1698,0.1516,0.1028,0.605418,0.641759,0.083257
163,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1398,0.1602,0.1028,0.735336,0.688517,0.103448
164,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Matrix, The (1999)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1448,0.1534,0.1028,0.709945,0.690044,0.044012
165,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Matrix, The (1999)']",0.1534,0.1448,0.1028,0.670143,0.690044,0.044012
166,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)']",0.1602,0.1398,0.1028,0.641698,0.688517,0.103448
167,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Matrix, The (1999)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1516,0.1698,0.1028,0.6781,0.641759,0.083257
168,"['Forrest Gump (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.159,0.2184,0.1106,0.695597,0.601004,0.222639
169,"['Shawshank Redemption, The (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.155,0.2184,0.1094,0.705806,0.603361,0.240152
170,"['Silence of the Lambs, The (1991)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1484,0.2184,0.1066,0.718329,0.603212,0.269024
171,"['Pulp Fiction (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1496,0.2184,0.1066,0.712567,0.600331,0.263198
172,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)']",0.211,0.2876,0.1658,0.785782,0.681138,0.230168
173,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']",['Fight Club (1999)'],0.211,0.2238,0.1324,0.627488,0.609544,0.042328
174,"['Forrest Gump (1994)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1758,0.211,0.1196,0.680319,0.623572,0.131737
175,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1806,0.211,0.1222,0.676633,0.62789,0.112843
176,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",['Fight Club (1999)'],0.1658,0.2238,0.118,0.711701,0.619479,0.213549
177,"['Matrix, The (1999)', 'Fight Club (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1666,0.211,0.118,0.708283,0.633763,0.171032
178,"['Matrix, The (1999)', 'Pulp Fiction (1994)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1644,0.211,0.114,0.693431,0.616858,0.178271
179,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1602,0.211,0.1124,0.701623,0.617162,0.196291
180,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1472,0.211,0.1062,0.721467,0.612393,0.253175
181,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1238,0.1806,0.1062,0.857835,0.722938,0.286579
182,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1658,0.1894,0.1062,0.640531,0.600625,0.094779
183,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1362,0.1602,0.1062,0.779736,0.721329,0.126183
184,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1602,0.1362,0.1062,0.662921,0.721329,0.126183
185,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1448,0.211,0.1032,0.712707,0.600904,0.262074
186,"['Forrest Gump (1994)', 'Jurassic Park (1993)']",['Apollo 13 (1995)'],0.2014,0.208,0.1232,0.611718,0.602013,0.023061
187,"['Forrest Gump (1994)', 'Apollo 13 (1995)']","['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']",0.1514,0.1758,0.1018,0.672391,0.625729,0.108252
188,"['Jurassic Park (1993)', 'Apollo 13 (1995)']","['Forrest Gump (1994)', 'Silence of the Lambs, The (1991)']",0.1382,0.2124,0.1018,0.736614,0.607949,0.298232
189,"['Apollo 13 (1995)', 'Silence of the Lambs, The (1991)']","['Forrest Gump (1994)', 'Jurassic Park (1993)']",0.1442,0.2014,0.1018,0.705964,0.605713,0.234619
190,"['Forrest Gump (1994)', 'Apollo 13 (1995)']","['Jurassic Park (1993)', 'Pulp Fiction (1994)']",0.1514,0.1728,0.1004,0.663144,0.622081,0.095621
191,"['Fugitive, The (1993)']","['Silence of the Lambs, The (1991)']",0.2068,0.3134,0.1546,0.747582,0.62044,0.291575
192,"['Fugitive, The (1993)']",['Jurassic Park (1993)'],0.2068,0.2644,0.1478,0.7147,0.636851,0.178108
193,"['Fugitive, The (1993)']",['Braveheart (1995)'],0.2068,0.254,0.1376,0.665377,0.603554,0.14604
194,"['Fugitive, The (1993)']",['Terminator 2: Judgment Day (1991)'],0.2068,0.2306,0.1362,0.658607,0.62462,0.079017
195,['Apollo 13 (1995)'],"['Fugitive, The (1993)']",0.208,0.2068,0.1298,0.624038,0.625849,0.004211
196,"['Fugitive, The (1993)']",['Apollo 13 (1995)'],0.2068,0.208,0.1298,0.62766,0.625849,0.004211
197,"['Forrest Gump (1994)', 'Jurassic Park (1993)']","['Fugitive, The (1993)']",0.2014,0.2068,0.1242,0.616683,0.608631,0.019014
198,"['Fugitive, The (1993)']","['Forrest Gump (1994)', 'Jurassic Park (1993)']",0.2068,0.2014,0.1242,0.60058,0.608631,0.019014
199,"['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']","['Fugitive, The (1993)']",0.1758,0.2068,0.115,0.654152,0.605123,0.115845
200,"['Jurassic Park (1993)', 'Pulp Fiction (1994)']","['Fugitive, The (1993)']",0.1728,0.2068,0.1144,0.662037,0.607614,0.128205
201,"['Forrest Gump (1994)', 'Fugitive, The (1993)']","['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']",0.1512,0.1758,0.1024,0.677249,0.629865,0.109528
202,"['Forrest Gump (1994)', 'Fugitive, The (1993)']","['Jurassic Park (1993)', 'Pulp Fiction (1994)']",0.1512,0.1728,0.1014,0.670635,0.628721,0.097035
203,"['Braveheart (1995)', 'Jurassic Park (1993)']","['Fugitive, The (1993)']",0.152,0.2068,0.1058,0.696053,0.603829,0.216601
204,"['Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)']","['Fugitive, The (1993)']",0.1662,0.2068,0.115,0.691937,0.624015,0.157364
205,"['Forrest Gump (1994)', 'Fugitive, The (1993)']",['Terminator 2: Judgment Day (1991)'],0.1512,0.2306,0.1116,0.738095,0.611025,0.293856
206,"['Forrest Gump (1994)', 'Apollo 13 (1995)']","['Fugitive, The (1993)']",0.1514,0.2068,0.1064,0.702774,0.608641,0.220016
207,"['Forrest Gump (1994)', 'Fugitive, The (1993)']",['Apollo 13 (1995)'],0.1512,0.208,0.1064,0.703704,0.607621,0.224684
208,"['Apollo 13 (1995)', 'Silence of the Lambs, The (1991)']","['Fugitive, The (1993)']",0.1442,0.2068,0.1058,0.733703,0.622654,0.255302
209,"['Jurassic Park (1993)', 'Apollo 13 (1995)']","['Fugitive, The (1993)']",0.1382,0.2068,0.1024,0.740955,0.618059,0.28277
210,"['Matrix, The (1999)', 'Pulp Fiction (1994)']",['American Beauty (1999)'],0.1644,0.2064,0.112,0.681265,0.611951,0.162287
211,"['Fight Club (1999)', 'Pulp Fiction (1994)']",['American Beauty (1999)'],0.1472,0.2064,0.105,0.713315,0.611018,0.238134
212,"['Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1988,0.211,0.174,0.875252,0.849948,0.051739
213,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)']",0.211,0.1988,0.174,0.824645,0.849948,0.051739
214,"['Lord of the Rings: The Two Towers, The (2002)']","['Matrix, The (1999)']",0.1988,0.2876,0.154,0.774648,0.655057,0.267148
215,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.154,0.211,0.1434,0.931169,0.805395,0.25722
216,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1658,0.1988,0.1434,0.864897,0.793112,0.149186
217,"['Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1988,0.1658,0.1434,0.721328,0.793112,0.149186
218,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.211,0.154,0.1434,0.679621,0.805395,0.25722
219,"['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1368,0.1988,0.1188,0.868421,0.733003,0.285978
220,"['Forrest Gump (1994)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1758,0.1988,0.1126,0.640501,0.603449,0.087786
221,"['Lord of the Rings: The Two Towers, The (2002)', 'Forrest Gump (1994)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1296,0.1658,0.106,0.817901,0.728612,0.19113
222,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Forrest Gump (1994)', 'Matrix, The (1999)']",0.174,0.1758,0.106,0.609195,0.606077,0.007383
223,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.154,0.1368,0.106,0.688312,0.731583,0.093074
224,"['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1368,0.154,0.106,0.774854,0.731583,0.093074
225,"['Forrest Gump (1994)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1758,0.174,0.106,0.602958,0.606077,0.007383
226,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Forrest Gump (1994)']",0.1658,0.1296,0.106,0.639324,0.728612,0.19113
227,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1362,0.1988,0.12,0.881057,0.742339,0.291163
228,"['Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1988,0.1362,0.12,0.603622,0.742339,0.291163
229,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1806,0.1988,0.1152,0.637874,0.608676,0.068887
230,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.174,0.1806,0.1096,0.629885,0.618375,0.026939
231,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.154,0.1362,0.1096,0.711688,0.758193,0.09856
232,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1278,0.1658,0.1096,0.85759,0.759313,0.206522
233,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1658,0.1278,0.1096,0.661037,0.759313,0.206522
234,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1362,0.154,0.1096,0.804699,0.758193,0.09856
235,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1806,0.174,0.1096,0.606866,0.618375,0.026939
236,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Shawshank Redemption, The (1994)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1342,0.1988,0.1166,0.868852,0.727685,0.298521
237,"['Lord of the Rings: The Two Towers, The (2002)', 'Shawshank Redemption, The (1994)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.126,0.1658,0.103,0.81746,0.719345,0.210805
238,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Shawshank Redemption, The (1994)']",0.154,0.1342,0.103,0.668831,0.718171,0.106911
239,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Shawshank Redemption, The (1994)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1342,0.154,0.103,0.767511,0.718171,0.106911
240,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Shawshank Redemption, The (1994)']",0.1658,0.126,0.103,0.62123,0.719345,0.210805
241,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",['Fight Club (1999)'],0.154,0.2238,0.1112,0.722078,0.609475,0.261815
242,"['Matrix, The (1999)', 'Fight Club (1999)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1666,0.1988,0.1112,0.667467,0.613411,0.126672
243,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Fight Club (1999)']",0.174,0.1666,0.1046,0.601149,0.6145,0.031356
244,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']",0.154,0.1324,0.1046,0.679221,0.734625,0.118812
245,"['Lord of the Rings: The Two Towers, The (2002)', 'Fight Club (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1232,0.1658,0.1046,0.849026,0.739953,0.23102
246,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Fight Club (1999)']",0.1658,0.1232,0.1046,0.630881,0.739953,0.23102
247,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1324,0.154,0.1046,0.79003,0.734625,0.118812
248,"['Matrix, The (1999)', 'Fight Club (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1666,0.174,0.1046,0.627851,0.6145,0.031356
249,"['Matrix, The (1999)', 'Pulp Fiction (1994)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1644,0.1988,0.1082,0.658151,0.601209,0.134902
250,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Pulp Fiction (1994)']",0.154,0.1276,0.1014,0.658442,0.726557,0.146504
251,"['Lord of the Rings: The Two Towers, The (2002)', 'Pulp Fiction (1994)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.12,0.1658,0.1014,0.845,0.72829,0.248373
252,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Pulp Fiction (1994)']",0.1658,0.12,0.1014,0.61158,0.72829,0.248373
253,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Pulp Fiction (1994)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1276,0.154,0.1014,0.794671,0.726557,0.146504
254,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1172,0.1362,0.1036,0.883959,0.822303,0.126836
255,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1278,0.1238,0.1036,0.810642,0.823738,0.027027
256,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1238,0.1278,0.1036,0.836834,0.823738,0.027027
257,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1362,0.1172,0.1036,0.760646,0.822303,0.126836
258,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']",0.1172,0.1658,0.1014,0.865188,0.738384,0.267621
259,"['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.154,0.1238,0.1014,0.658442,0.738752,0.171202
260,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Two Towers, The (2002)', 'Matrix, The (1999)']",0.1238,0.154,0.1014,0.819063,0.738752,0.171202
261,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Matrix, The (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1658,0.1172,0.1014,0.61158,0.738384,0.267621
262,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1602,0.174,0.1014,0.632959,0.607859,0.059278
263,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1278,0.1602,0.1004,0.785603,0.70616,0.172708
264,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1602,0.1278,0.1004,0.626717,0.70616,0.172708
265,['Seven (a.k.a. Se7en) (1995)'],"['Usual Suspects, The (1995)']",0.1988,0.225,0.1276,0.641851,0.604481,0.088454
266,['Seven (a.k.a. Se7en) (1995)'],"['Silence of the Lambs, The (1991)', 'Pulp Fiction (1994)']",0.1988,0.2226,0.1326,0.667002,0.631344,0.08241
267,['Seven (a.k.a. Se7en) (1995)'],"['Forrest Gump (1994)', 'Pulp Fiction (1994)']",0.1988,0.2148,0.126,0.633803,0.610197,0.055633
268,"['Forrest Gump (1994)', 'Silence of the Lambs, The (1991)', 'Pulp Fiction (1994)']",['Seven (a.k.a. Se7en) (1995)'],0.165,0.1988,0.1086,0.658182,0.60223,0.132445
269,"['Forrest Gump (1994)', 'Seven (a.k.a. Se7en) (1995)']","['Silence of the Lambs, The (1991)', 'Pulp Fiction (1994)']",0.1478,0.2226,0.1086,0.734777,0.611324,0.285714
270,"['Seven (a.k.a. Se7en) (1995)', 'Silence of the Lambs, The (1991)']","['Forrest Gump (1994)', 'Pulp Fiction (1994)']",0.152,0.2148,0.1086,0.714474,0.610031,0.243222
271,['Seven (a.k.a. Se7en) (1995)'],"['Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)']",0.1988,0.2192,0.1254,0.630785,0.601433,0.06972
272,"['Usual Suspects, The (1995)', 'Pulp Fiction (1994)']",['Seven (a.k.a. Se7en) (1995)'],0.1676,0.1988,0.115,0.686158,0.632315,0.124105
273,"['Seven (a.k.a. Se7en) (1995)', 'Pulp Fiction (1994)']","['Usual Suspects, The (1995)']",0.1622,0.225,0.115,0.709001,0.610056,0.230713
274,"['Usual Suspects, The (1995)', 'Silence of the Lambs, The (1991)']",['Seven (a.k.a. Se7en) (1995)'],0.1548,0.1988,0.1056,0.682171,0.606679,0.177419
